step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
94,1.616667,-0.000001165,-0.000001503,0.224999994,0.999999940,0.000015634,-0.000010776,0.000000159,0.000106525,-0.000062350,-0.000212276,0.008407151,0.001077371,-0.000020427,-0.000001165,-0.000001503,0.024999994
95,1.633333,-0.000001162,-0.000001501,0.224999994,1.000000000,0.000015653,-0.000010800,0.000000168,0.000106660,-0.000062266,-0.000212331,0.008406935,0.001080039,-0.000020409,-0.000001162,-0.000001501,0.024999994
96,1.650000,-0.000001165,-0.000001503,0.224999994,1.000000000,0.000015340,-0.000010720,0.000000160,0.000106371,-0.000062479,-0.000212275,0.008409719,0.001074149,-0.000020463,-0.000001165,-0.000001503,0.024999994
97,1.666667,-0.000001165,-0.000001501,0.224999994,0.999999940,0.000015595,-0.000010745,0.000000160,0.000106540,-0.000062329,-0.000212277,0.008406638,0.001077532,-0.000020430,-0.000001165,-0.000001501,0.024999994
98,1.683333,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015611,-0.000010765,0.000000166,0.000106520,-0.000062362,-0.000212298,0.008408276,0.001077058,-0.000020446,-0.000001165,-0.000001501,0.024999994
99,1.700000,-0.000001166,-0.000001502,0.224999994,1.000000000,0.000015444,-0.000010808,0.000000169,0.000106419,-0.000062460,-0.000212285,0.008409443,0.001075266,-0.000020433,-0.000001166,-0.000001502,0.024999994
100,1.716667,-0.000001165,-0.000001501,0.224999994,0.999999940,0.000015540,-0.000010737,0.000000162,0.000106601,-0.000062315,-0.000212298,0.008407270,0.001078935,-0.000020401,-0.000001165,-0.000001501,0.024999994
101,1.733333,-0.000001165,-0.000001502,0.224999994,1.000000000,0.000015575,-0.000010737,0.000000166,0.000106477,-0.000062402,-0.000212283,0.008408575,0.001076180,-0.000020432,-0.000001165,-0.000001502,0.024999994
102,1.750000,-0.000001166,-0.000001502,0.224999994,1.000000000,0.000015405,-0.000010786,0.000000170,0.000106475,-0.000062408,-0.000212291,0.008409032,0.001075937,-0.000020432,-0.000001166,-0.000001502,0.024999994
103,1.766667,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015520,-0.000010698,0.000000174,0.000106595,-0.000062337,-0.000212295,0.008407490,0.001078848,-0.000020371,-0.000001164,-0.000001502,0.024999994
104,1.783333,-0.000001164,-0.000001499,0.224999994,1.000000000,0.000015524,-0.000010727,0.000000167,0.000106565,-0.000062267,-0.000212297,0.008405903,0.001077957,-0.000020494,-0.000001164,-0.000001499,0.024999994
105,1.800000,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015377,-0.000010757,0.000000170,0.000106460,-0.000062455,-0.000212281,0.008409436,0.001076272,-0.000020389,-0.000001164,-0.000001501,0.024999994
106,1.816667,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015640,-0.000010781,0.000000160,0.000106505,-0.000062405,-0.000212275,0.008408355,0.001077062,-0.000020385,-0.000001164,-0.000001502,0.024999994
107,1.833333,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015506,-0.000010680,0.000000166,0.000106488,-0.000062359,-0.000212294,0.008408068,0.001076208,-0.000020482,-0.000001165,-0.000001501,0.024999994
108,1.850000,-0.000001167,-0.000001501,0.224999994,0.999999940,0.000015515,-0.000010710,0.000000158,0.000106436,-0.000062427,-0.000212274,0.008408612,0.001075359,-0.000020437,-0.000001167,-0.000001501,0.024999994
109,1.866667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015548,-0.000010721,0.000000164,0.000106621,-0.000062307,-0.000212316,0.008407409,0.001079370,-0.000020397,-0.000001164,-0.000001501,0.024999994
110,1.883333,-0.000001166,-0.000001500,0.224999994,0.999999940,0.000015559,-0.000010743,0.000000168,0.000106444,-0.000062396,-0.000212279,0.008408170,0.001075571,-0.000020475,-0.000001166,-0.000001500,0.024999994
111,1.900000,-0.000001163,-0.000001502,0.224999994,0.999999940,0.000015415,-0.000010775,0.000000174,0.000106595,-0.000062366,-0.000212317,0.008408624,0.001079036,-0.000020361,-0.000001163,-0.000001502,0.024999994
112,1.916667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015505,-0.000010707,0.000000164,0.000106513,-0.000062355,-0.000212279,0.008407146,0.001077186,-0.000020438,-0.000001164,-0.000001501,0.024999994
113,1.933333,-0.000001163,-0.000001501,0.224999994,0.999999940,0.000015536,-0.000010713,0.000000169,0.000106537,-0.000062351,-0.000212294,0.008407678,0.001077630,-0.000020431,-0.000001163,-0.000001501,0.024999994
114,1.950000,-0.000001163,-0.000001500,0.224999994,1.000000000,0.000015548,-0.000010741,0.000000175,0.000106525,-0.000062356,-0.000212297,0.008407827,0.001077398,-0.000020442,-0.000001163,-0.000001500,0.024999994
115,1.966667,-0.000001164,-0.000001502,0.224999994,1.000000000,0.000015403,-0.000010763,0.000000166,0.000106410,-0.000062484,-0.000212274,0.008409895,0.001075104,-0.000020405,-0.000001164,-0.000001502,0.024999994
116,1.983333,-0.000001166,-0.000001500,0.224999994,0.999999940,0.000015488,-0.000010689,0.000000167,0.000106496,-0.000062330,-0.000212274,0.008406739,0.001076249,-0.000020477,-0.000001166,-0.000001500,0.024999994
117,2.000000,-0.000001163,-0.000001502,0.224999994,0.999999940,0.000015340,-0.000010734,0.000000161,0.000106597,-0.000062380,-0.000212304,0.008408690,0.001079127,-0.000020332,-0.000001163,-0.000001502,0.024999994
118,2.016667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015597,-0.000010761,0.000000173,0.000106520,-0.000062346,-0.000212270,0.008406829,0.001077211,-0.000020423,-0.000001164,-0.000001501,0.024999994
119,2.033333,-0.000001164,-0.000001502,0.224999994,1.000000000,0.000015429,-0.000010807,0.000000154,0.000106472,-0.000062409,-0.000212295,0.008408850,0.001076184,-0.000020437,-0.000001164,-0.000001502,0.024999994
120,2.050000,-0.000001165,-0.000001503,0.224999994,1.000000000,0.000015361,-0.000010737,0.000000166,0.000106489,-0.000062418,-0.000212276,0.008408464,0.001076664,-0.000020382,-0.000001165,-0.000001503,0.024999994
121,2.066667,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015616,-0.000010763,0.000000167,0.000106537,-0.000062325,-0.000212270,0.008406508,0.001077441,-0.000020435,-0.000001165,-0.000001502,0.024999994
122,2.083333,-0.000001163,-0.000001501,0.224999994,1.000000000,0.000015634,-0.000010788,0.000000174,0.000106609,-0.000062314,-0.000212321,0.008407690,0.001079165,-0.000020410,-0.000001163,-0.000001501,0.024999994
